==========Reference Mapping Quality===========
NUMBER OF BP's IN REFERENCE GENOME: 190000
Mapping to reference for isolate 2010EL-1798 is -108.38%
Mapping to reference for isolate VC-15 is -107.70%
Mapping to reference for isolate VC-14 is -107.72%
Mapping to reference for isolate 2011EL-2317 is -108.78%
Mapping to reference for isolate VC-1 is -109.32%
Mapping to reference for isolate VC-10 is -108.73%
Mapping to reference for isolate VC-26 is -107.87%
Mapping to reference for isolate VC-6 is -108.63%
Mapping to reference for isolate 3554-08 is -108.96%
Mapping to reference for isolate VC-18 is -107.66%
Mapping to reference for isolate 2010EL-1749 is -108.49%
Mapping to reference for isolate 2010EL-1796 is -108.88%
Mapping to reference for isolate VC-19 is -107.86%
Mapping to reference for isolate VC-25 is -107.58%
Mapping to reference for isolate 2012V-1001 is -107.77%
Mapping to reference for isolate C6706 is -107.75%
